buyyear,sellyear,sector,rendite,strategy
2008,2009,Basic Materials,32.43,momentum_score
2008,2009,Basic Materials,52.89,value_score
2008,2010,Basic Materials,29.3,momentum_score
2008,2010,Basic Materials,40.7,value_score
2008,2011,Basic Materials,19.21,momentum_score
2008,2011,Basic Materials,23.13,value_score
2008,2012,Basic Materials,22.9,momentum_score
2008,2012,Basic Materials,27.63,value_score
2008,2013,Basic Materials,23.42,momentum_score
2008,2013,Basic Materials,27.45,value_score
2008,2014,Basic Materials,21.75,momentum_score
2008,2014,Basic Materials,25.5,value_score
2008,2015,Basic Materials,17.99,momentum_score
2008,2015,Basic Materials,20.17,value_score
2008,2016,Basic Materials,17.11,momentum_score
2008,2016,Basic Materials,18.5,value_score
2008,2017,Basic Materials,18.16,momentum_score
2008,2017,Basic Materials,19.65,value_score
2008,2018,Basic Materials,15.33,momentum_score
2008,2018,Basic Materials,15.95,value_score
2008,2019,Basic Materials,16.62,momentum_score
2008,2019,Basic Materials,16.52,value_score
2008,2020,Basic Materials,16.63,momentum_score
2008,2020,Basic Materials,16.17,value_score
2008,2021,Basic Materials,17.62,momentum_score
2008,2021,Basic Materials,17.6,value_score
2008,2022,Basic Materials,14.28,momentum_score
2008,2022,Basic Materials,14.81,value_score
2008,2023,Basic Materials,14.53,momentum_score
2008,2023,Basic Materials,14.65,value_score
2008,2024,Basic Materials,13.72,momentum_score
2008,2024,Basic Materials,13.63,value_score
2008,2025,Basic Materials,12.83,momentum_score
2008,2025,Basic Materials,12.45,value_score
2009,2010,Basic Materials,31.3,momentum_score
2009,2010,Basic Materials,34.87,value_score
2009,2011,Basic Materials,7.86,momentum_score
2009,2011,Basic Materials,13.21,value_score
2009,2012,Basic Materials,14.63,momentum_score
2009,2012,Basic Materials,19.55,value_score
2009,2013,Basic Materials,16.99,momentum_score
2009,2013,Basic Materials,20.61,value_score
2009,2014,Basic Materials,16.24,momentum_score
2009,2014,Basic Materials,18.98,value_score
2009,2015,Basic Materials,11.41,momentum_score
2009,2015,Basic Materials,14.81,value_score
2009,2016,Basic Materials,10.87,momentum_score
2009,2016,Basic Materials,13.68,value_score
2009,2017,Basic Materials,12.94,momentum_score
2009,2017,Basic Materials,15.42,value_score
2009,2018,Basic Materials,9.21,momentum_score
2009,2018,Basic Materials,12.3,value_score
2009,2019,Basic Materials,9.9,momentum_score
2009,2019,Basic Materials,12.92,value_score
2009,2020,Basic Materials,9.81,momentum_score
2009,2020,Basic Materials,12.82,value_score
2009,2021,Basic Materials,11.6,momentum_score
2009,2021,Basic Materials,14.81,value_score
2009,2022,Basic Materials,9.4,momentum_score
2009,2022,Basic Materials,11.79,value_score
2009,2023,Basic Materials,9.02,momentum_score
2009,2023,Basic Materials,12.19,value_score
2009,2024,Basic Materials,8.22,momentum_score
2009,2024,Basic Materials,11.22,value_score
2009,2025,Basic Materials,7.22,momentum_score
2009,2025,Basic Materials,10.38,value_score
2010,2011,Basic Materials,0.96,momentum_score
2010,2011,Basic Materials,-0.09,value_score
2010,2012,Basic Materials,15.34,momentum_score
2010,2012,Basic Materials,18.06,value_score
2010,2013,Basic Materials,17.05,momentum_score
2010,2013,Basic Materials,19.46,value_score
2010,2014,Basic Materials,15.08,momentum_score
2010,2014,Basic Materials,17.41,value_score
2010,2015,Basic Materials,11.09,momentum_score
2010,2015,Basic Materials,12.0,value_score
2010,2016,Basic Materials,10.44,momentum_score
2010,2016,Basic Materials,11.6,value_score
2010,2017,Basic Materials,13.37,momentum_score
2010,2017,Basic Materials,14.53,value_score
2010,2018,Basic Materials,10.16,momentum_score
2010,2018,Basic Materials,10.56,value_score
2010,2019,Basic Materials,11.54,momentum_score
2010,2019,Basic Materials,12.22,value_score
2010,2020,Basic Materials,11.77,momentum_score
2010,2020,Basic Materials,12.36,value_score
2010,2021,Basic Materials,13.27,momentum_score
2010,2021,Basic Materials,14.32,value_score
2010,2022,Basic Materials,10.22,momentum_score
2010,2022,Basic Materials,11.37,value_score
2010,2023,Basic Materials,9.88,momentum_score
2010,2023,Basic Materials,11.28,value_score
2010,2024,Basic Materials,9.25,momentum_score
2010,2024,Basic Materials,10.1,value_score
2010,2025,Basic Materials,8.25,momentum_score
2010,2025,Basic Materials,9.32,value_score
2011,2012,Basic Materials,30.03,momentum_score
2011,2012,Basic Materials,28.13,value_score
2011,2013,Basic Materials,26.56,momentum_score
2011,2013,Basic Materials,22.93,value_score
2011,2014,Basic Materials,22.06,momentum_score
2011,2014,Basic Materials,17.79,value_score
2011,2015,Basic Materials,13.74,momentum_score
2011,2015,Basic Materials,9.65,value_score
2011,2016,Basic Materials,12.53,momentum_score
2011,2016,Basic Materials,10.0,value_score
2011,2017,Basic Materials,15.25,momentum_score
2011,2017,Basic Materials,13.09,value_score
2011,2018,Basic Materials,11.92,momentum_score
2011,2018,Basic Materials,8.64,value_score
2011,2019,Basic Materials,14.83,momentum_score
2011,2019,Basic Materials,10.66,value_score
2011,2020,Basic Materials,14.98,momentum_score
2011,2020,Basic Materials,11.5,value_score
2011,2021,Basic Materials,16.01,momentum_score
2011,2021,Basic Materials,14.17,value_score
2011,2022,Basic Materials,12.74,momentum_score
2011,2022,Basic Materials,10.81,value_score
2011,2023,Basic Materials,12.49,momentum_score
2011,2023,Basic Materials,11.59,value_score
2011,2024,Basic Materials,11.69,momentum_score
2011,2024,Basic Materials,10.2,value_score
2011,2025,Basic Materials,10.61,momentum_score
2011,2025,Basic Materials,9.87,value_score
2012,2013,Basic Materials,28.34,momentum_score
2012,2013,Basic Materials,20.33,value_score
2012,2014,Basic Materials,19.2,momentum_score
2012,2014,Basic Materials,9.84,value_score
2012,2015,Basic Materials,12.67,momentum_score
2012,2015,Basic Materials,1.63,value_score
2012,2016,Basic Materials,11.38,momentum_score
2012,2016,Basic Materials,4.8,value_score
2012,2017,Basic Materials,14.77,momentum_score
2012,2017,Basic Materials,8.16,value_score
2012,2018,Basic Materials,9.67,momentum_score
2012,2018,Basic Materials,4.21,value_score
2012,2019,Basic Materials,12.48,momentum_score
2012,2019,Basic Materials,6.05,value_score
2012,2020,Basic Materials,12.21,momentum_score
2012,2020,Basic Materials,6.95,value_score
2012,2021,Basic Materials,13.9,momentum_score
2012,2021,Basic Materials,9.73,value_score
2012,2022,Basic Materials,10.09,momentum_score
2012,2022,Basic Materials,8.42,value_score
2012,2023,Basic Materials,10.29,momentum_score
2012,2023,Basic Materials,8.61,value_score
2012,2024,Basic Materials,9.64,momentum_score
2012,2024,Basic Materials,6.86,value_score
2012,2025,Basic Materials,8.21,momentum_score
2012,2025,Basic Materials,6.44,value_score
2013,2014,Basic Materials,9.56,momentum_score
2013,2014,Basic Materials,2.64,value_score
2013,2015,Basic Materials,-1.12,momentum_score
2013,2015,Basic Materials,-8.03,value_score
2013,2016,Basic Materials,6.53,momentum_score
2013,2016,Basic Materials,0.7,value_score
2013,2017,Basic Materials,12.26,momentum_score
2013,2017,Basic Materials,6.94,value_score
2013,2018,Basic Materials,4.84,momentum_score
2013,2018,Basic Materials,0.82,value_score
2013,2019,Basic Materials,6.65,momentum_score
2013,2019,Basic Materials,4.24,value_score
2013,2020,Basic Materials,7.06,momentum_score
2013,2020,Basic Materials,5.82,value_score
2013,2021,Basic Materials,9.89,momentum_score
2013,2021,Basic Materials,7.79,value_score
2013,2022,Basic Materials,7.63,momentum_score
2013,2022,Basic Materials,6.34,value_score
2013,2023,Basic Materials,7.49,momentum_score
2013,2023,Basic Materials,6.17,value_score
2013,2024,Basic Materials,5.89,momentum_score
2013,2024,Basic Materials,4.92,value_score
2013,2025,Basic Materials,6.02,momentum_score
2013,2025,Basic Materials,3.98,value_score
2014,2015,Basic Materials,1.13,momentum_score
2014,2015,Basic Materials,-7.89,value_score
2014,2016,Basic Materials,8.88,momentum_score
2014,2016,Basic Materials,-0.62,value_score
2014,2017,Basic Materials,14.04,momentum_score
2014,2017,Basic Materials,7.81,value_score
2014,2018,Basic Materials,4.85,momentum_score
2014,2018,Basic Materials,1.42,value_score
2014,2019,Basic Materials,9.42,momentum_score
2014,2019,Basic Materials,3.95,value_score
2014,2020,Basic Materials,9.2,momentum_score
2014,2020,Basic Materials,5.36,value_score
2014,2021,Basic Materials,13.47,momentum_score
2014,2021,Basic Materials,8.49,value_score
2014,2022,Basic Materials,9.08,momentum_score
2014,2022,Basic Materials,5.85,value_score
2014,2023,Basic Materials,9.81,momentum_score
2014,2023,Basic Materials,6.52,value_score
2014,2024,Basic Materials,9.34,momentum_score
2014,2024,Basic Materials,5.51,value_score
2014,2025,Basic Materials,8.97,momentum_score
2014,2025,Basic Materials,4.74,value_score
2015,2016,Basic Materials,23.81,momentum_score
2015,2016,Basic Materials,25.33,value_score
2015,2017,Basic Materials,20.64,momentum_score
2015,2017,Basic Materials,25.28,value_score
2015,2018,Basic Materials,9.34,momentum_score
2015,2018,Basic Materials,10.41,value_score
2015,2019,Basic Materials,14.13,momentum_score
2015,2019,Basic Materials,12.95,value_score
2015,2020,Basic Materials,14.17,momentum_score
2015,2020,Basic Materials,13.76,value_score
2015,2021,Basic Materials,15.78,momentum_score
2015,2021,Basic Materials,15.77,value_score
2015,2022,Basic Materials,10.01,momentum_score
2015,2022,Basic Materials,12.53,value_score
2015,2023,Basic Materials,10.7,momentum_score
2015,2023,Basic Materials,11.19,value_score
2015,2024,Basic Materials,10.02,momentum_score
2015,2024,Basic Materials,8.22,value_score
2015,2025,Basic Materials,11.14,momentum_score
2015,2025,Basic Materials,9.31,value_score
2016,2017,Basic Materials,26.51,momentum_score
2016,2017,Basic Materials,26.69,value_score
2016,2018,Basic Materials,0.87,momentum_score
2016,2018,Basic Materials,3.65,value_score
2016,2019,Basic Materials,11.13,momentum_score
2016,2019,Basic Materials,10.1,value_score
2016,2020,Basic Materials,15.58,momentum_score
2016,2020,Basic Materials,11.95,value_score
2016,2021,Basic Materials,19.29,momentum_score
2016,2021,Basic Materials,14.99,value_score
2016,2022,Basic Materials,14.65,momentum_score
2016,2022,Basic Materials,10.02,value_score
2016,2023,Basic Materials,13.11,momentum_score
2016,2023,Basic Materials,9.54,value_score
2016,2024,Basic Materials,10.29,momentum_score
2016,2024,Basic Materials,6.56,value_score
2016,2025,Basic Materials,11.42,momentum_score
2016,2025,Basic Materials,6.8,value_score
2017,2018,Basic Materials,-16.2,momentum_score
2017,2018,Basic Materials,-14.24,value_score
2017,2019,Basic Materials,2.61,momentum_score
2017,2019,Basic Materials,3.19,value_score
2017,2020,Basic Materials,9.04,momentum_score
2017,2020,Basic Materials,7.85,value_score
2017,2021,Basic Materials,15.41,momentum_score
2017,2021,Basic Materials,14.17,value_score
2017,2022,Basic Materials,9.8,momentum_score
2017,2022,Basic Materials,10.06,value_score
2017,2023,Basic Materials,8.63,momentum_score
2017,2023,Basic Materials,9.56,value_score
2017,2024,Basic Materials,6.69,momentum_score
2017,2024,Basic Materials,6.68,value_score
2017,2025,Basic Materials,5.54,momentum_score
2017,2025,Basic Materials,7.63,value_score
2018,2019,Basic Materials,25.99,momentum_score
2018,2019,Basic Materials,29.71,value_score
2018,2020,Basic Materials,19.77,momentum_score
2018,2020,Basic Materials,26.1,value_score
2018,2021,Basic Materials,23.54,momentum_score
2018,2021,Basic Materials,29.58,value_score
2018,2022,Basic Materials,12.39,momentum_score
2018,2022,Basic Materials,18.14,value_score
2018,2023,Basic Materials,12.09,momentum_score
2018,2023,Basic Materials,16.81,value_score
2018,2024,Basic Materials,9.11,momentum_score
2018,2024,Basic Materials,11.01,value_score
2018,2025,Basic Materials,9.02,momentum_score
2018,2025,Basic Materials,11.34,value_score
2019,2020,Basic Materials,14.03,momentum_score
2019,2020,Basic Materials,16.3,value_score
2019,2021,Basic Materials,20.49,momentum_score
2019,2021,Basic Materials,29.28,value_score
2019,2022,Basic Materials,5.89,momentum_score
2019,2022,Basic Materials,16.47,value_score
2019,2023,Basic Materials,9.08,momentum_score
2019,2023,Basic Materials,15.88,value_score
2019,2024,Basic Materials,6.45,momentum_score
2019,2024,Basic Materials,8.32,value_score
2019,2025,Basic Materials,4.99,momentum_score
2019,2025,Basic Materials,7.85,value_score
2020,2021,Basic Materials,28.05,momentum_score
2020,2021,Basic Materials,37.29,value_score
2020,2022,Basic Materials,8.72,momentum_score
2020,2022,Basic Materials,11.93,value_score
2020,2023,Basic Materials,4.73,momentum_score
2020,2023,Basic Materials,14.66,value_score
2020,2024,Basic Materials,3.2,momentum_score
2020,2024,Basic Materials,6.57,value_score
2020,2025,Basic Materials,6.03,momentum_score
2020,2025,Basic Materials,7.5,value_score
2021,2022,Basic Materials,-6.38,momentum_score
2021,2022,Basic Materials,-7.79,value_score
2021,2023,Basic Materials,1.59,momentum_score
2021,2023,Basic Materials,1.8,value_score
2021,2024,Basic Materials,-1.07,momentum_score
2021,2024,Basic Materials,-5.04,value_score
2021,2025,Basic Materials,2.26,momentum_score
2021,2025,Basic Materials,-2.05,value_score
2022,2023,Basic Materials,-2.36,momentum_score
2022,2023,Basic Materials,20.36,value_score
2022,2024,Basic Materials,-5.83,momentum_score
2022,2024,Basic Materials,0.63,value_score
2022,2025,Basic Materials,-1.62,momentum_score
2022,2025,Basic Materials,1.07,value_score
2023,2024,Basic Materials,-7.38,momentum_score
2023,2024,Basic Materials,-18.11,value_score
2023,2025,Basic Materials,-0.11,momentum_score
2023,2025,Basic Materials,-7.5,value_score
2024,2025,Basic Materials,-0.07,momentum_score
2024,2025,Basic Materials,-1.87,value_score
2008,2009,Communication Services,49.7,momentum_score
2008,2009,Communication Services,57.88,value_score
2008,2010,Communication Services,31.23,momentum_score
2008,2010,Communication Services,34.81,value_score
2008,2011,Communication Services,20.03,momentum_score
2008,2011,Communication Services,21.18,value_score
2008,2012,Communication Services,18.97,momentum_score
2008,2012,Communication Services,21.33,value_score
2008,2013,Communication Services,24.15,momentum_score
2008,2013,Communication Services,26.49,value_score
2008,2014,Communication Services,22.5,momentum_score
2008,2014,Communication Services,23.6,value_score
2008,2015,Communication Services,20.48,momentum_score
2008,2015,Communication Services,20.77,value_score
2008,2016,Communication Services,19.34,momentum_score
2008,2016,Communication Services,19.09,value_score
2008,2017,Communication Services,18.35,momentum_score
2008,2017,Communication Services,17.72,value_score
2008,2018,Communication Services,15.91,momentum_score
2008,2018,Communication Services,15.52,value_score
2008,2019,Communication Services,16.33,momentum_score
2008,2019,Communication Services,16.07,value_score
2008,2020,Communication Services,16.43,momentum_score
2008,2020,Communication Services,15.74,value_score
2008,2021,Communication Services,16.95,momentum_score
2008,2021,Communication Services,16.71,value_score
2008,2022,Communication Services,13.51,momentum_score
2008,2022,Communication Services,13.45,value_score
2008,2023,Communication Services,13.98,momentum_score
2008,2023,Communication Services,13.62,value_score
2008,2024,Communication Services,13.77,momentum_score
2008,2024,Communication Services,13.52,value_score
2008,2025,Communication Services,14.49,momentum_score
2008,2025,Communication Services,14.09,value_score
2010,2011,Communication Services,-5.29,momentum_score
2010,2011,Communication Services,-5.29,value_score
2010,2012,Communication Services,8.53,momentum_score
2010,2012,Communication Services,8.53,value_score
2010,2013,Communication Services,22.68,momentum_score
2010,2013,Communication Services,22.68,value_score
2010,2014,Communication Services,19.2,momentum_score
2010,2014,Communication Services,19.2,value_score
2010,2015,Communication Services,18.83,momentum_score
2010,2015,Communication Services,18.83,value_score
2010,2016,Communication Services,17.16,momentum_score
2010,2016,Communication Services,17.16,value_score
2010,2017,Communication Services,16.99,momentum_score
2010,2017,Communication Services,16.99,value_score
2010,2018,Communication Services,15.69,momentum_score
2010,2018,Communication Services,15.69,value_score
2010,2019,Communication Services,16.29,momentum_score
2010,2019,Communication Services,16.29,value_score
2010,2020,Communication Services,17.38,momentum_score
2010,2020,Communication Services,17.38,value_score
2010,2021,Communication Services,17.67,momentum_score
2010,2021,Communication Services,17.67,value_score
2010,2022,Communication Services,12.2,momentum_score
2010,2022,Communication Services,12.2,value_score
2010,2023,Communication Services,13.41,momentum_score
2010,2023,Communication Services,13.41,value_score
2010,2024,Communication Services,15.1,momentum_score
2010,2024,Communication Services,15.1,value_score
2010,2025,Communication Services,14.98,momentum_score
2010,2025,Communication Services,14.98,value_score
2012,2013,Communication Services,74.36,momentum_score
2012,2013,Communication Services,70.4,value_score
2012,2014,Communication Services,35.36,momentum_score
